id,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
49-53,100.6464,101.4937,102.0654,101.6702,102.3412,102.4057,102.7543,102.6406,103.8623,103.5091682,103.7,104.4,106.5,108.6422414,110.8275738,113.0568641,115.3309964,117.6508728,120.0174133,122.4315567,124.8942604,127.4065013,129.9692758,132.5836003
49-52,100.67,101.3521,101.9342,101.1933,101.7418,101.834,102.1535,102.0564,103.1797,102.7669812,103.1,104.0,106.1,108.2424038,110.4280678,112.6578653,114.9326876,117.2534438,119.6210614,122.0364867,124.5006849,127.0146411,129.5793598,132.1958661
53,100.5518,102.0623,102.5917,103.5841,104.7466,104.7451,105.1672,105.0124,106.4825,106.2801833,105.7,105.4,107.4,109.4379507,111.5145721,113.6305982,115.7867765,117.983869,120.2226521,122.5039169,124.8284694,127.197131,129.6107388,132.0701456
55-56,99.9894,102.3798,102.737,103.8655,104.1656,105.1351,105.4501,105.8577,105.057,0.0,105.3,106.1,107.9,109.7305372,111.5921298,113.4853044,115.4105971,117.3685525,119.359725,121.3846779,123.4439844,125.5382273,127.6679993,129.8339031
58-63,101.7023,102.1077,103.1973,104.2868,104.3264,104.851,105.8593,107.3237,107.9037,110.5149695,108.6,110.5,112.5,114.5361991,116.6092525,118.7198272,120.8686023,123.0562693,125.2835321,127.5511074,129.8597247,132.210127,134.6030704,137.0393251
58-61,100.7542,101.4441,101.6927,102.5758,102.743,103.2522,104.4621,105.9515,106.1939,108.3283974,109.1,109.7,112.2,114.7569736,117.3722191,120.0470646,122.7828682,125.5810193,128.4429386,131.3700794,134.363928,137.4260048,140.5578645,143.7610975
62-63,102.452,102.6324,104.387,105.6396,105.5783,106.1147,106.9739,108.4209,109.2522,112.2457103,108.8,111.5,113.3,115.1290583,116.987644,118.8762338,120.795312,122.7453708,124.7269104,126.740439,128.786473,130.8655372,132.9781647,135.1248974
64-66,101.4209,102.3487,103.1463,104.5246,105.085,106.517,106.9689,108.4819,110.2176,109.2917722,107.7,109.7,110.9,112.1131267,113.3395237,114.5793362,115.8327109,117.0997961,118.380742,119.6756999,120.9848234,122.3082672,123.6461881,124.9987444
64/66,101.1314,101.8594,102.9023,104.2736,104.9778,106.6755,107.057,108.6563,110.3948,109.8317865,108.0,109.7,110.8,111.9110301,113.0332008,114.166624,115.3114124,116.46768,117.6355419,118.8151143,120.0065147,121.2098617,122.4252751,123.6528758
65,102.2603,103.7673,103.8536,105.2521,105.3959,105.854,106.563,107.7592,109.4833,107.1841507,106.5,109.4,111.1,112.8264168,114.579661,116.3601493,118.1683052,120.0045585,121.869346,123.763111,125.6863038,127.6393816,129.6228089,131.6370573
69-75,100.8398,102.1111,104.1649,104.4405,104.185,105.396,106.0379,105.8882,107.6549,110.5185203,109.7,111.4,110.7,110.0043986,109.3131681,108.626281,107.9437101,107.2654283,106.5914085,105.9216241,105.2560484,104.5946549,103.9374174,103.2843097
77-82,100.6379,101.4828,102.4918,103.5097,103.3165,103.5151,103.9738,104.1295,104.483,105.3920021,105.9,107.4,110.4,113.4837989,116.6537374,119.9122217,123.2617251,126.70479,130.24403,133.8821314,137.6218557,141.4660416,145.417607,149.4795514
84,100.0245,100.9158,102.0048,102.3699,102.5003,103.231,103.3703,103.6917,104.5212,104.5943648,106.8,107.5,111.4,115.4414884,119.6295982,123.9696487,128.4671523,133.127821,137.9575745,142.962547,148.1490952,153.5238066,159.0935075,164.8652719
86-88,100.8762,101.1692,101.682,101.7356,102.0771,102.6098,102.9363,103.5323,103.9607,105.738428,105.6,106.5,106.6,106.7000939,106.8002818,106.9005637,107.0009398,107.1014102,107.2019749,107.3026341,107.4033877,107.5042359,107.6051789,107.7062166
90-96,100.3936,102.0683,102.0439,104.5736,105.0915,106.3462,106.3561,106.2203,0.0,106.4964728,102.9,101.5,104.5,107.58867,110.7686306,114.0425803,117.413297,120.8836407,124.4565562,128.1350751,131.9223187,135.8215006,139.8359291,143.9690108
